usg-atl1,Atlanta Metropolitan State College,https://www.galileo.usg.edu/wayfinder/atlanta-metropolitan-state-college
usg-reg1,Augusta University,https://www.galileo.usg.edu/wayfinder/augusta-university
usg-geo1,Georgia College & State University,https://www.galileo.usg.edu/wayfinder/georgia-college-state-university
usg-gwin,Georgia Gwinnett College,https://www.galileo.usg.edu/wayfinder/georgia-gwinnett-college
usg-gso1,Georgia Southern University,https://www.galileo.usg.edu/wayfinder/georgia-southern-university
usg-ken1,Kennesaw State University,https://www.galileo.usg.edu/wayfinder/kennesaw-state-university
usg-nga1,University of North Georgia,https://www.galileo.usg.edu/wayfinder/university-of-north-georgia
usg-uga1,University of Georgia,http://www.libs.uga.edu/galileologin.html
usg-uga1:,University of Georgia School of Law,http://www.libs.uga.edu/galileologin.html
usg-val1,Valdosta State University,https://www.galileo.usg.edu/wayfinder/valdosta-state-university
usg-dem1,University System - Demonstration Site,https://www.galileo.usg.edu/wayfinder/university-system-demonstration-site
usg-ebsc,EBSCO Testing Institution,https://www.galileo.usg.edu/wayfinder/ebsco-testing-institution
usg-ecor,GoVIEW: Georgia Online Virtual Instruction Enterprise Wide,https://www.galileo.usg.edu/wayfinder/goview-georgia-online-virtual-instruction-enterprise-wide
usg-gov1,Governor's Office,https://www.galileo.usg.edu/wayfinder/governor-s-office
usg-gsfc,Georgia Student Finance Commission,https://www.galileo.usg.edu/wayfinder/georgia-student-finance-commission
usg-opb1,Office of Planning and Budget,https://www.galileo.usg.edu/wayfinder/office-of-planning-and-budget
usg-sen1,General Assembly,https://www.galileo.usg.edu/wayfinder/general-assembly
usg-sre1,Southern Regional Education Board,https://www.galileo.usg.edu/wayfinder/southern-regional-education-board
usg-usys,University System - Test Site,https://www.galileo.usg.edu/wayfinder/university-system-test-site
tcsg-albt,Albany Technical College,https://www.galileo.usg.edu/wayfinder/albany-technical-college
tcsg-ath2,Athens Technical College,https://www.galileo.usg.edu/wayfinder/athens-technical-college
tcsg-atlt,Atlanta Technical College,https://www.galileo.usg.edu/wayfinder/atlanta-technical-college
tcsg-aut1,Augusta Technical College,https://www.galileo.usg.edu/wayfinder/augusta-technical-college
tcsg-mac2,Central Georgia Technical College,https://www.galileo.usg.edu/wayfinder/central-georgia-technical-college
tcsg-alta,Coastal Pines Technical College,https://www.galileo.usg.edu/wayfinder/coastal-pines-technical-college
tcsg-cot1,Columbus Technical College,https://www.galileo.usg.edu/wayfinder/columbus-technical-college
tcsg-dekt,Georgia Piedmont Technical College,https://www.galileo.usg.edu/wayfinder/georgia-piedmont-technical-college
tcsg-lant,Lanier Technical College,https://www.galileo.usg.edu/wayfinder/lanier-technical-college
tcsg-ngt1,North Georgia Technical College,https://www.galileo.usg.edu/wayfinder/north-georgia-technical-college
tcsg-oftc,Oconee Fall Line Technical College,https://www.galileo.usg.edu/wayfinder/oconee-fall-line-technical-college
tcsg-sav2,Savannah Technical College,https://www.galileo.usg.edu/wayfinder/savannah-technical-college
tcsg-sgt1,South Georgia Technical College,https://www.galileo.usg.edu/wayfinder/south-georgia-technical-college
tcsg-soet,Southeastern Technical College,https://www.galileo.usg.edu/wayfinder/southeastern-technical-college
tcsg-scre,Southern Crescent Technical College,https://www.galileo.usg.edu/wayfinder/southern-crescent-technical-college
tcsg-dta1,Technical College System of Georgia Central Office,https://www.galileo.usg.edu/wayfinder/technical-college-system-of-georgia-central-office
tcsg-wgt1,West Georgia Technical College,https://www.galileo.usg.edu/wayfinder/west-georgia-technical-college
tcsg-wrgt,Wiregrass Georgia Technical College,https://www.galileo.usg.edu/wayfinder/wiregrass-georgia-technical-college
